rowid,wordplay,indicator,clue_rowids
9114,container,transports,[641476](/data/clues/641476)
9115,container,trapped,"[222180](/data/clues/222180), [335317](/data/clues/335317), [347071](/data/clues/347071), [410853](/data/clues/410853), [449800](/data/clues/449800), [470646](/data/clues/470646), [489830](/data/clues/489830), [666001](/data/clues/666001)"
9116,container,trapped in,[462506](/data/clues/462506)
9117,container,trapped inside,[319258](/data/clues/319258)
9118,container,trapping,"[35639](/data/clues/35639), [130159](/data/clues/130159), [191569](/data/clues/191569), [222350](/data/clues/222350), [316882](/data/clues/316882), [319150](/data/clues/319150), [321995](/data/clues/321995), [352801](/data/clues/352801), [353522](/data/clues/353522), [367308](/data/clues/367308), [376898](/data/clues/376898), [392969](/data/clues/392969), [416789](/data/clues/416789), [418979](/data/clues/418979), [423282](/data/clues/423282), [425010](/data/clues/425010), [428391](/data/clues/428391), [445537](/data/clues/445537), [452004](/data/clues/452004), [464843](/data/clues/464843), [484614](/data/clues/484614), [659219](/data/clues/659219), [664969](/data/clues/664969)"
9119,container,traps,"[111362](/data/clues/111362), [151994](/data/clues/151994), [159801](/data/clues/159801), [167018](/data/clues/167018), [190467](/data/clues/190467), [328354](/data/clues/328354), [361191](/data/clues/361191), [478752](/data/clues/478752)"
9120,container,travelling across,[429708](/data/clues/429708)
9121,container,travelling round,[232308](/data/clues/232308)
9122,container,traversing,"[94337](/data/clues/94337), [177797](/data/clues/177797), [290935](/data/clues/290935)"
9123,container,trousers,"[65505](/data/clues/65505), [135885](/data/clues/135885), [149687](/data/clues/149687), [163761](/data/clues/163761), [301641](/data/clues/301641), [302087](/data/clues/302087), [599104](/data/clues/599104), [636588](/data/clues/636588)"
9124,container,tucked up,[301295](/data/clues/301295)
9125,container,tucking in,[468771](/data/clues/468771)
9126,container,tying up,[439974](/data/clues/439974)
9127,container,up across,[385070](/data/clues/385070)
9128,container,upon acquiring,[303590](/data/clues/303590)
9129,container,used about,[113281](/data/clues/113281)
9130,container,used in,"[296309](/data/clues/296309), [307390](/data/clues/307390)"
9131,container,used to fix,[351081](/data/clues/351081)
9132,container,used to hide,[238591](/data/clues/238591)
9133,container,used to secure,[258427](/data/clues/258427)
9134,container,vehicle,[483343](/data/clues/483343)
9135,container,very,[209477](/data/clues/209477)
9136,container,viewed about,[590872](/data/clues/590872)
9137,container,visited by,"[405040](/data/clues/405040), [660803](/data/clues/660803)"
9138,container,wai,[464698](/data/clues/464698)
9139,container,walls,"[56399](/data/clues/56399), [146004](/data/clues/146004), [491544](/data/clues/491544)"
9140,container,walls in,"[173947](/data/clues/173947), [353677](/data/clues/353677), [436546](/data/clues/436546), [594650](/data/clues/594650)"
9141,container,wanting to keep,[350452](/data/clues/350452)
9142,container,wants to capture,[356905](/data/clues/356905)
9143,container,wary,[210559](/data/clues/210559)
9144,container,wearing,"[177544](/data/clues/177544), [211538](/data/clues/211538), [220277](/data/clues/220277), [238790](/data/clues/238790), [255258](/data/clues/255258), [289145](/data/clues/289145), [294427](/data/clues/294427), [298044](/data/clues/298044), [308074](/data/clues/308074), [343831](/data/clues/343831), [348241](/data/clues/348241), [408857](/data/clues/408857), [484153](/data/clues/484153), [586935](/data/clues/586935)"
9145,container,wears,"[220270](/data/clues/220270), [286295](/data/clues/286295), [286501](/data/clues/286501), [296837](/data/clues/296837), [591678](/data/clues/591678)"
9146,container,welcome,"[149403](/data/clues/149403), [409385](/data/clues/409385), [479928](/data/clues/479928)"
9147,container,welcomed by,"[317332](/data/clues/317332), [489316](/data/clues/489316)"
9148,container,welcomed in,[393003](/data/clues/393003)
9149,container,welcomes,"[11484](/data/clues/11484), [41040](/data/clues/41040), [44129](/data/clues/44129), [79346](/data/clues/79346), [106047](/data/clues/106047), [117648](/data/clues/117648), [121140](/data/clues/121140), [154641](/data/clues/154641), [156468](/data/clues/156468), [158874](/data/clues/158874), [203478](/data/clues/203478), [205346](/data/clues/205346), [211829](/data/clues/211829), [226945](/data/clues/226945), [277061](/data/clues/277061), [281491](/data/clues/281491), [299639](/data/clues/299639), [300394](/data/clues/300394), [315930](/data/clues/315930), [333720](/data/clues/333720), [347060](/data/clues/347060), [353802](/data/clues/353802), [361621](/data/clues/361621), [375579](/data/clues/375579), [392529](/data/clues/392529), [393818](/data/clues/393818), [394054](/data/clues/394054), [430808](/data/clues/430808), [434096](/data/clues/434096), [434416](/data/clues/434416), [467445](/data/clues/467445), [476155](/data/clues/476155), [482632](/data/clues/482632), [490335](/data/clues/490335), [608961](/data/clues/608961), [631890](/data/clues/631890), [648759](/data/clues/648759), [663482](/data/clues/663482)"
9150,container,welcoming,"[2570](/data/clues/2570), [6540](/data/clues/6540), [27562](/data/clues/27562), [98705](/data/clues/98705), [99003](/data/clues/99003), [105250](/data/clues/105250), [110361](/data/clues/110361), [110547](/data/clues/110547), [115210](/data/clues/115210), [122754](/data/clues/122754), [122883](/data/clues/122883), [122901](/data/clues/122901), [126755](/data/clues/126755), [129328](/data/clues/129328), [130870](/data/clues/130870), [145442](/data/clues/145442), [148190](/data/clues/148190), [149749](/data/clues/149749), [159490](/data/clues/159490), [164282](/data/clues/164282), [168942](/data/clues/168942), [171247](/data/clues/171247), [171546](/data/clues/171546), [195770](/data/clues/195770), [202428](/data/clues/202428), [216822](/data/clues/216822), [268318](/data/clues/268318), [288917](/data/clues/288917), [289148](/data/clues/289148), [295879](/data/clues/295879), [300835](/data/clues/300835), [314769](/data/clues/314769), [315573](/data/clues/315573), [316444](/data/clues/316444), [319252](/data/clues/319252), [326537](/data/clues/326537), [336428](/data/clues/336428), [340691](/data/clues/340691), [350245](/data/clues/350245), [354583](/data/clues/354583), [365062](/data/clues/365062), [374332](/data/clues/374332), [377777](/data/clues/377777), [380018](/data/clues/380018), [380221](/data/clues/380221), [384464](/data/clues/384464), [391494](/data/clues/391494), [397046](/data/clues/397046), [407840](/data/clues/407840), [413135](/data/clues/413135), [421639](/data/clues/421639), [422577](/data/clues/422577), [434143](/data/clues/434143), [438395](/data/clues/438395), [440467](/data/clues/440467), [441289](/data/clues/441289), [442505](/data/clues/442505), [442955](/data/clues/442955), [444891](/data/clues/444891), [448476](/data/clues/448476), [455847](/data/clues/455847), [462333](/data/clues/462333), [468101](/data/clues/468101), [474126](/data/clues/474126), [479351](/data/clues/479351), [488490](/data/clues/488490), [495534](/data/clues/495534), [496244](/data/clues/496244), [597142](/data/clues/597142), [613117](/data/clues/613117), [615143](/data/clues/615143), [624659](/data/clues/624659), [628081](/data/clues/628081), [630874](/data/clues/630874), [636461](/data/clues/636461), [636479](/data/clues/636479), [644431](/data/clues/644431), [645231](/data/clues/645231), [656025](/data/clues/656025), [660289](/data/clues/660289), [662562](/data/clues/662562), [664525](/data/clues/664525), [665982](/data/clues/665982)"
9151,container,welcoming of,[210703](/data/clues/210703)
9152,container,went around clinging to,[189735](/data/clues/189735)
9153,container,when about,"[253978](/data/clues/253978), [257924](/data/clues/257924), [271700](/data/clues/271700)"
9154,container,when accepting,"[216678](/data/clues/216678), [613620](/data/clues/613620)"
9155,container,when acquiring,[153972](/data/clues/153972)
9156,container,when admitting,[286105](/data/clues/286105)
9157,container,when astride,[229179](/data/clues/229179)
9158,container,when boxing,[606277](/data/clues/606277)
9159,container,when carrying,[279873](/data/clues/279873)
9160,container,when catching,"[307903](/data/clues/307903), [588938](/data/clues/588938)"
9161,container,when circling,[583863](/data/clues/583863)
9162,container,when collecting,[604888](/data/clues/604888)
9163,container,when consuming,"[362937](/data/clues/362937), [584788](/data/clues/584788)"
9164,container,when crossing,"[2729](/data/clues/2729), [346490](/data/clues/346490)"
9165,container,when describing,[287579](/data/clues/287579)
9166,container,when drinking in,[641586](/data/clues/641586)
9167,container,when eating,"[103465](/data/clues/103465), [586471](/data/clues/586471), [590264](/data/clues/590264), [641957](/data/clues/641957)"
9168,container,when embracing,[48323](/data/clues/48323)
9169,container,when encircling,[287031](/data/clues/287031)
9170,container,when getting,[586174](/data/clues/586174)
9171,container,when grappling,[365049](/data/clues/365049)
9172,container,when gripping,"[223652](/data/clues/223652), [584034](/data/clues/584034)"
9173,container,when harbouring,[286839](/data/clues/286839)
9174,container,when hosting,[357565](/data/clues/357565)
9175,container,when housing,[598978](/data/clues/598978)
9176,container,when imbibing,[341641](/data/clues/341641)
9177,container,when in possession of,[353912](/data/clues/353912)
9178,container,when interrupted by,[282736](/data/clues/282736)
9179,container,when invested in,[341724](/data/clues/341724)
9180,container,when keeping,[125573](/data/clues/125573)
9181,container,when looking across,[433917](/data/clues/433917)
9182,container,when obtaining,[368352](/data/clues/368352)
9183,container,when outside,"[114670](/data/clues/114670), [284605](/data/clues/284605)"
9184,container,when pierced by,[193257](/data/clues/193257)
9185,container,when probed by,[418023](/data/clues/418023)
9186,container,when receiving,[301795](/data/clues/301795)
9187,container,when restraining,[360083](/data/clues/360083)
9188,container,when retaining,[639870](/data/clues/639870)
9189,container,when ringing,[160928](/data/clues/160928)
9190,container,when swallowing,[311641](/data/clues/311641)
9191,container,when taking,"[359284](/data/clues/359284), [586769](/data/clues/586769)"
9192,container,when touring,"[108743](/data/clues/108743), [284599](/data/clues/284599)"
9193,container,which cases,[308594](/data/clues/308594)
9194,container,which includes,[202624](/data/clues/202624)
9195,container,which one must bring in,[464740](/data/clues/464740)
9196,container,while catching,[589902](/data/clues/589902)
9197,container,who embodies,[646424](/data/clues/646424)
9198,container,whose content,[150011](/data/clues/150011)
9199,container,wielding,[347738](/data/clues/347738)
9200,container,will accept,"[418137](/data/clues/418137), [440523](/data/clues/440523)"
9201,container,will be crushing,[648277](/data/clues/648277)
9202,container,will be written about,[239740](/data/clues/239740)
9203,container,will bite,[462397](/data/clues/462397)
9204,container,will capture,"[144282](/data/clues/144282), [355147](/data/clues/355147)"
9205,container,will collect,[142838](/data/clues/142838)
9206,container,will constrain,[91435](/data/clues/91435)
9207,container,will consume,[14231](/data/clues/14231)
9208,container,will cross,[182546](/data/clues/182546)
9209,container,will eat,"[134263](/data/clues/134263), [432573](/data/clues/432573)"
9210,container,will embrace,[449465](/data/clues/449465)
9211,container,will engage,[352045](/data/clues/352045)
9212,container,will entertain,[323834](/data/clues/323834)
9213,container,will enthral,[308608](/data/clues/308608)
9214,container,will go through,[416101](/data/clues/416101)
9215,container,will grab,[439339](/data/clues/439339)
9216,container,will guard,[397051](/data/clues/397051)
9217,container,will have,[325823](/data/clues/325823)
9218,container,will hide,[259446](/data/clues/259446)
9219,container,will introduce,[392712](/data/clues/392712)
9220,container,will keep,"[373191](/data/clues/373191), [398431](/data/clues/398431), [448305](/data/clues/448305)"
9221,container,will limit,"[190996](/data/clues/190996), [341478](/data/clues/341478)"
9222,container,will maintain,[296985](/data/clues/296985)
9223,container,will nurture,[476712](/data/clues/476712)
9224,container,will shelter,[107655](/data/clues/107655)
9225,container,will skirt,[486183](/data/clues/486183)
9226,container,will stifle,[237667](/data/clues/237667)
9227,container,will stop,[416803](/data/clues/416803)
9228,container,will take,[419600](/data/clues/419600)
9229,container,will take in,[392726](/data/clues/392726)
9230,container,will wrap up,[384158](/data/clues/384158)
9231,container,wings,"[171321](/data/clues/171321), [300345](/data/clues/300345)"
9232,container,winning,"[263546](/data/clues/263546), [271381](/data/clues/271381)"
9233,container,wins,[147600](/data/clues/147600)
9234,container,with,"[476986](/data/clues/476986), [591882](/data/clues/591882)"
9235,container,with a cargo of,[485548](/data/clues/485548)
9236,container,with added,[592874](/data/clues/592874)
9237,container,with admission for,[351243](/data/clues/351243)
9238,container,with cargo,[287430](/data/clues/287430)
9239,container,with cargo of,"[460110](/data/clues/460110), [479607](/data/clues/479607), [587130](/data/clues/587130)"
9240,container,with concealed,[33546](/data/clues/33546)
9241,container,with content of,[139523](/data/clues/139523)
9242,container,with entry,[459259](/data/clues/459259)
9243,container,with grip on,[380697](/data/clues/380697)
9244,container,with heart of,[636471](/data/clues/636471)
9245,container,with implanted,[401333](/data/clues/401333)
9246,container,with inner,[356505](/data/clues/356505)
9247,container,with input from,[115536](/data/clues/115536)
9248,container,with insertion of,[356514](/data/clues/356514)
9249,container,with integral,[441335](/data/clues/441335)
9250,container,with internal,[583477](/data/clues/583477)
9251,container,with intervention of,[264629](/data/clues/264629)
9252,container,with introduction of,"[324971](/data/clues/324971), [426551](/data/clues/426551)"
9253,container,with investment of,"[113287](/data/clues/113287), [212140](/data/clues/212140), [663576](/data/clues/663576)"
9254,container,with load of,[88894](/data/clues/88894)
9255,container,with the involvement of,"[259210](/data/clues/259210), [277153](/data/clues/277153)"
9256,container,with trapped,[94410](/data/clues/94410)
9257,container,withholding,[291781](/data/clues/291781)
9258,container,within,"[359817](/data/clues/359817), [466205](/data/clues/466205)"
9259,container,without,"[1663](/data/clues/1663), [28936](/data/clues/28936), [31018](/data/clues/31018), [34970](/data/clues/34970), [39122](/data/clues/39122), [40309](/data/clues/40309), [44128](/data/clues/44128), [69276](/data/clues/69276), [76757](/data/clues/76757), [109868](/data/clues/109868), [115091](/data/clues/115091), [119140](/data/clues/119140), [122121](/data/clues/122121), [129335](/data/clues/129335), [130472](/data/clues/130472), [138175](/data/clues/138175), [142888](/data/clues/142888), [143808](/data/clues/143808), [148615](/data/clues/148615), [150273](/data/clues/150273), [154912](/data/clues/154912), [156396](/data/clues/156396), [162203](/data/clues/162203), [162580](/data/clues/162580), [180130](/data/clues/180130), [195471](/data/clues/195471), [197219](/data/clues/197219), [198849](/data/clues/198849), [199695](/data/clues/199695), [200724](/data/clues/200724), [201108](/data/clues/201108), [203479](/data/clues/203479), [203625](/data/clues/203625), [229226](/data/clues/229226), [229481](/data/clues/229481), [237454](/data/clues/237454), [239525](/data/clues/239525), [240147](/data/clues/240147), [258788](/data/clues/258788), [262096](/data/clues/262096), [266676](/data/clues/266676), [267785](/data/clues/267785), [269512](/data/clues/269512), [272296](/data/clues/272296), [276834](/data/clues/276834), [280552](/data/clues/280552), [280594](/data/clues/280594), [281754](/data/clues/281754), [286285](/data/clues/286285), [286642](/data/clues/286642), [286837](/data/clues/286837), [288907](/data/clues/288907), [293285](/data/clues/293285), [293683](/data/clues/293683), [293942](/data/clues/293942), [299754](/data/clues/299754), [306556](/data/clues/306556), [308616](/data/clues/308616), [312001](/data/clues/312001), [317599](/data/clues/317599), [318366](/data/clues/318366), [319777](/data/clues/319777), [326872](/data/clues/326872), [334020](/data/clues/334020), [341752](/data/clues/341752), [348718](/data/clues/348718), [350090](/data/clues/350090), [355992](/data/clues/355992), [365776](/data/clues/365776), [365915](/data/clues/365915), [366742](/data/clues/366742), [368354](/data/clues/368354), [376447](/data/clues/376447), [377373](/data/clues/377373), [378955](/data/clues/378955), [379953](/data/clues/379953), [380011](/data/clues/380011), [381446](/data/clues/381446), [381737](/data/clues/381737), [383973](/data/clues/383973), [390385](/data/clues/390385), [391729](/data/clues/391729), [405773](/data/clues/405773), [407213](/data/clues/407213), [407932](/data/clues/407932), [408225](/data/clues/408225), [410280](/data/clues/410280), [412221](/data/clues/412221), [413664](/data/clues/413664), [414515](/data/clues/414515), [414754](/data/clues/414754), [415670](/data/clues/415670), [416061](/data/clues/416061), [423083](/data/clues/423083), [429813](/data/clues/429813), [431884](/data/clues/431884), [433959](/data/clues/433959), [434363](/data/clues/434363), [434762](/data/clues/434762), [434787](/data/clues/434787), [435717](/data/clues/435717), [439291](/data/clues/439291), [440228](/data/clues/440228), [440470](/data/clues/440470), [441417](/data/clues/441417), [441650](/data/clues/441650), [442126](/data/clues/442126), [444003](/data/clues/444003), [444237](/data/clues/444237), [444250](/data/clues/444250), [445342](/data/clues/445342), [446566](/data/clues/446566), [446662](/data/clues/446662), [447977](/data/clues/447977), [448629](/data/clues/448629), [453303](/data/clues/453303), [454309](/data/clues/454309), [458561](/data/clues/458561), [461694](/data/clues/461694), [463281](/data/clues/463281), [463466](/data/clues/463466), [468759](/data/clues/468759), [470165](/data/clues/470165), [472593](/data/clues/472593), [473643](/data/clues/473643), [478520](/data/clues/478520), [481332](/data/clues/481332), [482770](/data/clues/482770), [483833](/data/clues/483833), [487009](/data/clues/487009), [487183](/data/clues/487183), [488702](/data/clues/488702), [488786](/data/clues/488786), [489807](/data/clues/489807), [491352](/data/clues/491352), [491615](/data/clues/491615), [493379](/data/clues/493379), [494734](/data/clues/494734), [495697](/data/clues/495697), [496017](/data/clues/496017), [499222](/data/clues/499222), [605707](/data/clues/605707), [614053](/data/clues/614053), [644234](/data/clues/644234), [644534](/data/clues/644534), [645350](/data/clues/645350), [645801](/data/clues/645801), [650088](/data/clues/650088), [660831](/data/clues/660831), [667389](/data/clues/667389)"
9260,container,worn by,"[106029](/data/clues/106029), [107666](/data/clues/107666), [111361](/data/clues/111361), [151632](/data/clues/151632), [153756](/data/clues/153756), [186237](/data/clues/186237), [198838](/data/clues/198838), [207903](/data/clues/207903), [234361](/data/clues/234361), [264589](/data/clues/264589), [321388](/data/clues/321388), [338081](/data/clues/338081), [349493](/data/clues/349493), [365622](/data/clues/365622), [370595](/data/clues/370595), [399638](/data/clues/399638), [408523](/data/clues/408523), [409304](/data/clues/409304), [416443](/data/clues/416443), [418981](/data/clues/418981), [436641](/data/clues/436641), [438464](/data/clues/438464), [467312](/data/clues/467312), [471783](/data/clues/471783), [486196](/data/clues/486196), [499687](/data/clues/499687), [500014](/data/clues/500014), [585268](/data/clues/585268), [586039](/data/clues/586039), [586282](/data/clues/586282), [587411](/data/clues/587411), [588034](/data/clues/588034), [589184](/data/clues/589184), [589285](/data/clues/589285), [589644](/data/clues/589644), [590111](/data/clues/590111), [590534](/data/clues/590534), [590885](/data/clues/590885), [590924](/data/clues/590924), [603093](/data/clues/603093), [638868](/data/clues/638868), [648286](/data/clues/648286), [658712](/data/clues/658712), [662427](/data/clues/662427)"
9261,container,worn over,[499225](/data/clues/499225)
9262,container,would drink,[376775](/data/clues/376775)
9263,container,would keep,[641863](/data/clues/641863)
9264,container,would pack,[282430](/data/clues/282430)
9265,container,wrap,[287440](/data/clues/287440)
9266,container,wrapped around,"[589198](/data/clues/589198), [589632](/data/clues/589632), [590028](/data/clues/590028), [666965](/data/clues/666965)"
9267,container,wrapped in,[343824](/data/clues/343824)
9268,container,wrapper for,[153196](/data/clues/153196)
9269,container,wrapping,"[18557](/data/clues/18557), [114671](/data/clues/114671), [224432](/data/clues/224432), [243312](/data/clues/243312), [300254](/data/clues/300254), [330437](/data/clues/330437), [341472](/data/clues/341472), [357612](/data/clues/357612), [383755](/data/clues/383755), [384431](/data/clues/384431), [441270](/data/clues/441270), [445195](/data/clues/445195), [448155](/data/clues/448155), [481287](/data/clues/481287), [585622](/data/clues/585622), [588260](/data/clues/588260), [589131](/data/clues/589131), [590949](/data/clues/590949), [591166](/data/clues/591166), [592457](/data/clues/592457), [597081](/data/clues/597081), [603085](/data/clues/603085), [607520](/data/clues/607520), [664971](/data/clues/664971), [665624](/data/clues/665624), [666669](/data/clues/666669), [667895](/data/clues/667895)"
9270,container,wraps,"[47668](/data/clues/47668), [47678](/data/clues/47678), [155925](/data/clues/155925), [338552](/data/clues/338552), [390046](/data/clues/390046), [646456](/data/clues/646456)"
9271,container,wraps up,[415048](/data/clues/415048)
9272,container,written about,"[31016](/data/clues/31016), [52525](/data/clues/52525), [158031](/data/clues/158031), [256190](/data/clues/256190), [257607](/data/clues/257607), [267953](/data/clues/267953), [293066](/data/clues/293066), [337377](/data/clues/337377), [357909](/data/clues/357909), [406738](/data/clues/406738), [421448](/data/clues/421448), [490257](/data/clues/490257), [498460](/data/clues/498460), [608952](/data/clues/608952), [647737](/data/clues/647737), [659990](/data/clues/659990), [668016](/data/clues/668016)"
9273,container,year,[159005](/data/clues/159005)
9274,container,yo,[61103](/data/clues/61103)
9275,deletion,a certain amount off,[234180](/data/clues/234180)
9276,deletion,abandoned,"[33553](/data/clues/33553), [311160](/data/clues/311160), [357754](/data/clues/357754), [405399](/data/clues/405399), [416523](/data/clues/416523), [418287](/data/clues/418287), [423412](/data/clues/423412), [471055](/data/clues/471055), [662773](/data/clues/662773)"
9277,deletion,abandoned by,[400687](/data/clues/400687)
9278,deletion,abandoning,"[55817](/data/clues/55817), [198855](/data/clues/198855), [316428](/data/clues/316428), [387778](/data/clues/387778), [421127](/data/clues/421127), [462549](/data/clues/462549), [500376](/data/clues/500376)"
9279,deletion,abandoning original recipe,[153958](/data/clues/153958)
9280,deletion,abandons,"[414185](/data/clues/414185), [644382](/data/clues/644382)"
9281,deletion,abbreviated,[407382](/data/clues/407382)
9282,deletion,abolishes pound,[413280](/data/clues/413280)
9283,deletion,aborted,[344354](/data/clues/344354)
9284,deletion,abridged,[606486](/data/clues/606486)
9285,deletion,abruptly,"[411468](/data/clues/411468), [411767](/data/clues/411767), [645763](/data/clues/645763)"
9286,deletion,absconding,[596670](/data/clues/596670)
9287,deletion,absence,[287173](/data/clues/287173)
9288,deletion,absent,"[373586](/data/clues/373586), [390434](/data/clues/390434)"
9289,deletion,after commencement,"[587169](/data/clues/587169), [592453](/data/clues/592453)"
9290,deletion,after cutting,[491264](/data/clues/491264)
9291,deletion,after ditching university,[143238](/data/clues/143238)
9292,deletion,after ignoring,[302883](/data/clues/302883)
9293,deletion,after initial clearance,[146306](/data/clues/146306)
9294,deletion,after introduction,[603049](/data/clues/603049)
9295,deletion,after introductions,[593505](/data/clues/593505)
9296,deletion,after losing,"[318358](/data/clues/318358), [344836](/data/clues/344836), [591115](/data/clues/591115), [666188](/data/clues/666188)"
9297,deletion,after losing opener,[591647](/data/clues/591647)
9298,deletion,after opening,[591002](/data/clues/591002)
9299,deletion,after ousting,[616622](/data/clues/616622)
9300,deletion,after the debut,[606479](/data/clues/606479)
9301,deletion,after the faces,[588976](/data/clues/588976)
9302,deletion,after the first,"[582959](/data/clues/582959), [583597](/data/clues/583597), [584142](/data/clues/584142), [584496](/data/clues/584496), [585228](/data/clues/585228), [585886](/data/clues/585886), [589323](/data/clues/589323), [591222](/data/clues/591222), [592146](/data/clues/592146), [592651](/data/clues/592651)"
9303,deletion,after the initial,[591465](/data/clues/591465)
9304,deletion,after the leader,[588860](/data/clues/588860)
9305,deletion,after the start,"[585966](/data/clues/585966), [590156](/data/clues/590156)"
9306,deletion,alienated,[455431](/data/clues/455431)
9307,deletion,all but,[387292](/data/clues/387292)
9308,deletion,all but initial,[407407](/data/clues/407407)
9309,deletion,all but the first of,[585091](/data/clues/585091)
9310,deletion,all but the head of,[592006](/data/clues/592006)
9311,deletion,almost,"[125967](/data/clues/125967), [256211](/data/clues/256211), [299787](/data/clues/299787), [305796](/data/clues/305796), [334008](/data/clues/334008), [379482](/data/clues/379482), [404628](/data/clues/404628), [407063](/data/clues/407063), [407552](/data/clues/407552), [407896](/data/clues/407896), [408189](/data/clues/408189), [408887](/data/clues/408887), [408930](/data/clues/408930), [409352](/data/clues/409352), [409730](/data/clues/409730), [410003](/data/clues/410003), [410052](/data/clues/410052), [410349](/data/clues/410349), [413463](/data/clues/413463), [414014](/data/clues/414014), [414517](/data/clues/414517), [414677](/data/clues/414677), [431810](/data/clues/431810), [435222](/data/clues/435222), [440047](/data/clues/440047), [447150](/data/clues/447150), [455796](/data/clues/455796), [461828](/data/clues/461828), [477173](/data/clues/477173), [485768](/data/clues/485768), [489689](/data/clues/489689), [490983](/data/clues/490983), [491147](/data/clues/491147), [494892](/data/clues/494892), [496449](/data/clues/496449), [498650](/data/clues/498650), [583336](/data/clues/583336), [588986](/data/clues/588986), [589147](/data/clues/589147), [589701](/data/clues/589701), [590289](/data/clues/590289), [591355](/data/clues/591355), [591507](/data/clues/591507), [591852](/data/clues/591852), [592400](/data/clues/592400), [644252](/data/clues/644252), [662545](/data/clues/662545), [662805](/data/clues/662805), [663488](/data/clues/663488)"
9312,deletion,almost recognise,[463650](/data/clues/463650)
9313,deletion,american defecting,[448928](/data/clues/448928)
9314,deletion,apart from,[340970](/data/clues/340970)
9315,deletion,avoid,[456386](/data/clues/456386)
9316,deletion,avoided,"[485811](/data/clues/485811), [497644](/data/clues/497644)"
9317,deletion,avoiding,"[80345](/data/clues/80345), [316441](/data/clues/316441), [360993](/data/clues/360993), [384420](/data/clues/384420), [408013](/data/clues/408013), [431325](/data/clues/431325), [442612](/data/clues/442612), [446229](/data/clues/446229), [664665](/data/clues/664665)"
9318,deletion,avoiding outsiders,[27067](/data/clues/27067)
9319,deletion,avoids,[468925](/data/clues/468925)
9320,deletion,away,"[359696](/data/clues/359696), [414237](/data/clues/414237), [423696](/data/clues/423696), [427140](/data/clues/427140), [433153](/data/clues/433153), [440375](/data/clues/440375), [496488](/data/clues/496488), [497650](/data/clues/497650)"
9321,deletion,away from,"[343280](/data/clues/343280), [633335](/data/clues/633335)"
9322,deletion,back off,[498640](/data/clues/498640)
9323,deletion,backing off,[491559](/data/clues/491559)
9324,deletion,banish,[466136](/data/clues/466136)
9325,deletion,banishing,"[291703](/data/clues/291703), [615753](/data/clues/615753)"
9326,deletion,banned,"[198080](/data/clues/198080), [416693](/data/clues/416693), [459787](/data/clues/459787), [641801](/data/clues/641801)"
9327,deletion,banning,"[344846](/data/clues/344846), [389404](/data/clues/389404)"
9328,deletion,bar,"[198082](/data/clues/198082), [348306](/data/clues/348306), [489869](/data/clues/489869), [644374](/data/clues/644374)"
9329,deletion,bareheaded,[289360](/data/clues/289360)
9330,deletion,barred,"[378470](/data/clues/378470), [464259](/data/clues/464259)"
9331,deletion,barred from,[339218](/data/clues/339218)
9332,deletion,barring a,[339786](/data/clues/339786)
9333,deletion,be blown,[406686](/data/clues/406686)
9334,deletion,beginning to break,[419758](/data/clues/419758)
9335,deletion,beheaded,"[413473](/data/clues/413473), [418748](/data/clues/418748), [424696](/data/clues/424696), [587538](/data/clues/587538)"
9336,deletion,beheading,[437134](/data/clues/437134)
9337,deletion,behind the first,[584710](/data/clues/584710)
9338,deletion,behind the front,"[583826](/data/clues/583826), [592327](/data/clues/592327)"
9339,deletion,being deficient,[491160](/data/clues/491160)
9340,deletion,being demolished,[430359](/data/clues/430359)
9341,deletion,being discontented,[151753](/data/clues/151753)
9342,deletion,being rejected,[315915](/data/clues/315915)
9343,deletion,belted out,[660952](/data/clues/660952)
9344,deletion,beyond,[415571](/data/clues/415571)
9345,deletion,binned,[364756](/data/clues/364756)
9346,deletion,blocking out,[343277](/data/clues/343277)
9347,deletion,blow,[482430](/data/clues/482430)
9348,deletion,blowing,[48344](/data/clues/48344)
9349,deletion,blowing top,"[325759](/data/clues/325759), [647038](/data/clues/647038)"
9350,deletion,booted out,[460811](/data/clues/460811)
9351,deletion,bottom cut off,[306731](/data/clues/306731)
9352,deletion,brief,"[244344](/data/clues/244344), [407028](/data/clues/407028), [409516](/data/clues/409516), [410054](/data/clues/410054), [413478](/data/clues/413478), [641333](/data/clues/641333)"
9353,deletion,briefly,"[294387](/data/clues/294387), [296111](/data/clues/296111), [312880](/data/clues/312880), [405033](/data/clues/405033), [406870](/data/clues/406870), [407053](/data/clues/407053), [408278](/data/clues/408278), [408679](/data/clues/408679), [409355](/data/clues/409355), [411624](/data/clues/411624), [485342](/data/clues/485342), [497137](/data/clues/497137), [497591](/data/clues/497591), [588505](/data/clues/588505), [599284](/data/clues/599284), [646554](/data/clues/646554), [661407](/data/clues/661407), [663354](/data/clues/663354), [665609](/data/clues/665609)"
9354,deletion,bringing out,"[389559](/data/clues/389559), [418963](/data/clues/418963)"
9355,deletion,brooking no,[356526](/data/clues/356526)
9356,deletion,brought out,[152255](/data/clues/152255)
9357,deletion,burning old,[663021](/data/clues/663021)
9358,deletion,but,[610653](/data/clues/610653)
9359,deletion,but no,"[342287](/data/clues/342287), [440834](/data/clues/440834)"
9360,deletion,but no books,[489741](/data/clues/489741)
9361,deletion,but not,"[319498](/data/clues/319498), [358693](/data/clues/358693), [425932](/data/clues/425932), [586311](/data/clues/586311)"
